,true,preds,dif
0,0.0,97.296364,-97.3
1,0.0,93.56769,-93.57
2,0.0,97.08565,-97.09
3,0.0,92.31056,-92.31
4,0.0,92.99812,-93.0
5,0.0,98.12604,-98.13
6,0.0,97.92956,-97.93
7,0.0,92.935974,-92.94
8,0.0,93.91343,-93.91
9,0.0,93.20578,-93.21
10,0.0,94.99665,-95.0
11,0.0,99.691864,-99.69
12,0.0,100.51169,-100.51
13,0.0,104.09329,-104.09
14,0.0,107.77448,-107.77
15,0.0,109.13439,-109.13
16,0.0,108.354904,-108.35
17,0.0,105.31974,-105.32
18,0.0,100.102325,-100.1
19,0.0,97.67138,-97.67
20,0.0,91.0316,-91.03
21,0.0,89.63383,-89.63
22,0.0,92.96911,-92.97
23,0.0,93.443405,-93.44
24,0.0,93.69303,-93.69
25,0.0,95.43608,-95.44
26,0.0,98.31873,-98.32
27,0.0,104.59958,-104.6
28,0.0,118.621254,-118.62
29,0.0,135.77284,-135.77
30,0.0,156.31674,-156.32
31,0.0,211.02385,-211.02
32,0.0,306.22498,-306.22
33,0.0,425.44888,-425.45
34,0.0,532.18024,-532.18
35,0.0,591.56305,-591.56
36,0.0,593.123,-593.12
37,0.0,579.26605,-579.27
38,0.0,584.83215,-584.83
39,0.0,571.6736,-571.67
40,0.0,580.11523,-580.12
41,0.0,589.01874,-589.02
42,0.0,603.41095,-603.41
43,0.0,608.0517,-608.05
44,0.0,615.2423,-615.24
45,0.0,597.64185,-597.64
46,0.0,574.13116,-574.13
47,0.0,549.7507,-549.75
48,0.0,532.7555,-532.76
49,0.0,571.383,-571.38
50,0.0,661.2184,-661.22
51,0.0,707.7528,-707.75
52,0.0,745.6054,-745.61
53,0.0,765.0839,-765.08
54,0.0,756.6032,-756.6
55,0.0,796.738,-796.74
56,0.0,814.00696,-814.01
57,0.0,848.3143,-848.31
58,0.0,828.6268,-828.63
59,0.0,862.884,-862.88
60,0.0,909.1652,-909.17
61,0.0,926.6786,-926.68
62,0.0,926.17535,-926.18
63,0.0,872.0377,-872.04
64,0.0,886.7279,-886.73
65,0.0,858.4777,-858.48
66,0.0,864.2039,-864.2
67,0.0,823.15594,-823.16
68,0.0,832.8004,-832.8
69,0.0,832.279,-832.28
70,0.0,782.6192,-782.62
71,0.0,795.12164,-795.12
72,0.0,780.69684,-780.7
73,0.0,781.1035,-781.1
74,0.0,788.3487,-788.35
75,0.0,776.4523,-776.45
76,0.0,774.52856,-774.53
77,0.0,778.84076,-778.84
78,0.0,753.8442,-753.84
79,0.0,794.052,-794.05
80,0.0,826.12286,-826.12
81,0.0,844.9812,-844.98
82,0.0,873.69147,-873.69
83,0.0,889.9459,-889.95
84,0.0,876.1526,-876.15
85,0.0,904.64215,-904.64
86,0.0,924.7663,-924.77
87,0.0,884.42285,-884.42
88,0.0,864.56366,-864.56
89,0.0,871.81335,-871.81
90,0.0,836.659,-836.66
91,0.0,804.1845,-804.18
92,0.0,776.2115,-776.21
93,0.0,801.7199,-801.72
94,0.0,749.18427,-749.18
95,0.0,777.4834,-777.48
96,0.0,773.2119,-773.21
97,0.0,763.30304,-763.3
98,0.0,766.64325,-766.64
99,0.0,770.0358,-770.04
100,0.0,649.923,-649.92
101,0.0,774.96136,-774.96
102,0.0,783.09644,-783.1
103,0.0,731.9971,-732.0
104,0.0,698.38727,-698.39
105,0.0,705.1829,-705.18
106,0.0,750.6104,-750.61
107,0.0,719.1657,-719.17
108,0.0,635.39325,-635.39
109,0.0,457.46057,-457.46
110,0.0,456.59125,-456.59
111,0.0,683.11816,-683.12
112,0.0,659.0049,-659.0
113,0.0,394.26685,-394.27
114,0.0,328.69476,-328.69
115,0.0,366.0261,-366.03
116,0.0,367.21786,-367.22
117,0.0,463.8809,-463.88
118,0.0,713.5154,-713.52
119,0.0,778.7824,-778.78
120,0.0,838.6604,-838.66
121,0.0,862.1157,-862.12
122,0.0,890.5712,-890.57
123,0.0,890.688,-890.69
124,0.0,895.08813,-895.09
125,0.0,899.73737,-899.74
126,0.0,897.8763,-897.88
127,0.0,887.6598,-887.66
128,0.0,870.9357,-870.94
129,0.0,882.7459,-882.75
130,0.0,880.72974,-880.73
131,0.0,820.32684,-820.33
132,0.0,790.6917,-790.69
133,0.0,787.2837,-787.28
134,0.0,754.5384,-754.54
135,0.0,725.13544,-725.14
136,0.0,713.0463,-713.05
137,0.0,694.43604,-694.44
138,0.0,674.8912,-674.89
139,0.0,693.753,-693.75
140,0.0,684.0026,-684.0
141,0.0,646.49133,-646.49
142,0.0,640.5523,-640.55
143,0.0,648.1787,-648.18
144,0.0,645.79877,-645.8
145,0.0,600.96484,-600.96
146,0.0,603.5888,-603.59
147,0.0,608.88654,-608.89
148,0.0,652.30414,-652.3
149,0.0,667.37634,-667.38
150,0.0,633.90686,-633.91
151,0.0,512.7825,-512.78
152,0.0,298.9691,-298.97
153,0.0,197.07573,-197.08
154,0.0,145.24539,-145.25
155,0.0,140.32845,-140.33
156,0.0,134.51062,-134.51
157,0.0,138.18335,-138.18
158,0.0,121.58048,-121.58
159,0.0,111.063774,-111.06
160,0.0,122.05967,-122.06
161,0.0,123.552246,-123.55
162,0.0,124.55781,-124.56
163,0.0,121.73774,-121.74
164,0.0,106.917114,-106.92
165,0.0,99.75277,-99.75
166,0.0,103.10228,-103.1
167,0.0,103.5839,-103.58
168,1.0,101.59257,-100.59
169,0.0,110.63855,-110.64
170,0.0,116.1069,-116.11
171,0.0,114.819885,-114.82
172,0.0,116.60915,-116.61
173,0.0,115.28745,-115.29
174,0.0,136.20122,-136.2
175,0.0,150.37775,-150.38
176,0.0,162.85515,-162.86
177,0.0,160.71915,-160.72
178,0.0,148.80745,-148.81
179,0.0,149.86017,-149.86
180,0.0,143.65211,-143.65
181,0.0,135.58832,-135.59
182,0.0,135.48042,-135.48
183,0.0,134.64185,-134.64
184,0.0,135.43034,-135.43
185,0.0,128.334,-128.33
186,0.0,133.71877,-133.72
187,0.0,130.80525,-130.81
188,0.0,121.434235,-121.43
189,0.0,123.20653,-123.21
190,0.0,121.74288,-121.74
191,0.0,124.013176,-124.01
192,0.0,121.23435,-121.23
193,0.0,126.279884,-126.28
194,0.0,127.007416,-127.01
195,1.0,127.32633,-126.33
196,0.0,117.13174,-117.13
197,0.0,85.64384,-85.64
198,0.0,38.875717,-38.88
199,0.0,28.728258,-28.73
200,0.0,21.807364,-21.81
201,0.0,20.522066,-20.52
202,0.0,18.522943,-18.52
203,0.0,15.841506,-15.84
204,0.0,13.363131,-13.36
205,0.0,12.802107,-12.8
206,0.0,12.589096,-12.59
207,0.0,12.790207,-12.79
208,0.0,12.911056,-12.91
209,0.0,12.834771,-12.83
210,0.0,12.837184,-12.84
211,0.0,12.7296505,-12.73
212,0.0,12.785182,-12.79
213,0.0,12.958517,-12.96
214,0.0,13.207242,-13.21
215,0.0,13.3715515,-13.37
216,0.0,13.887839,-13.89
217,0.0,13.934639,-13.93
218,0.0,14.439153,-14.44
219,0.0,14.359273,-14.36
220,0.0,14.861043,-14.86
221,0.0,15.523708,-15.52
222,0.0,16.499353,-16.5
223,0.0,18.853273,-18.85
224,0.0,20.686916,-20.69
225,0.0,20.966364,-20.97
226,0.0,21.405802,-21.41
227,0.0,25.196577,-25.2
228,0.0,34.402,-34.4
229,0.0,43.70563,-43.71
230,0.0,29.324793,-29.32
231,0.0,43.119022,-43.12
232,0.0,42.114437,-42.11
233,0.0,28.719969,-28.72
234,0.0,41.143444,-41.14
235,0.0,46.994617,-46.99
236,0.0,58.24943,-58.25
237,0.0,76.627655,-76.63
238,0.0,67.804794,-67.8
239,0.0,61.461304,-61.46
240,0.0,53.77413,-53.77
241,0.0,62.379448,-62.38
242,0.0,68.73129,-68.73
243,0.0,80.61482,-80.61
244,0.0,87.687164,-87.69
245,0.0,85.28598,-85.29
246,0.0,85.257,-85.26
247,0.0,89.09358,-89.09
248,0.0,93.82671,-93.83
249,0.0,89.57772,-89.58
250,0.0,84.634384,-84.63
251,0.0,72.981346,-72.98
252,0.0,85.77638,-85.78
253,0.0,86.42797,-86.43
254,0.0,88.844955,-88.84
255,0.0,89.848595,-89.85
256,0.0,81.12765,-81.13
257,0.0,79.7758,-79.78
258,0.0,72.35831,-72.36
259,0.0,87.798134,-87.8
260,0.0,99.56244,-99.56
261,0.0,88.76403,-88.76
262,0.0,94.938934,-94.94
263,0.0,88.45076,-88.45
264,0.0,83.31266,-83.31
265,0.0,86.09884,-86.1
266,0.0,85.8964,-85.9
267,0.0,90.01659,-90.02
268,0.0,102.60595,-102.61
269,0.0,105.21541,-105.22
270,0.0,93.10562,-93.11
271,0.0,92.38349,-92.38
272,0.0,93.805565,-93.81
273,0.0,82.72063,-82.72
274,0.0,77.00355,-77.0
275,0.0,89.48621,-89.49
276,0.0,98.35533,-98.36
277,0.0,93.57272,-93.57
278,0.0,96.04307,-96.04
279,0.0,98.61284,-98.61
280,0.0,71.97124,-71.97
281,0.0,73.25709,-73.26
282,0.0,61.550488,-61.55
283,0.0,64.2552,-64.26
284,0.0,49.57208,-49.57
285,0.0,29.284964,-29.28
286,0.0,23.371494,-23.37
287,0.0,25.25321,-25.25
288,0.0,49.92775,-49.93
289,0.0,62.93101,-62.93
290,0.0,76.27499,-76.27
291,0.0,89.948685,-89.95
292,0.0,84.97191,-84.97
293,0.0,81.2488,-81.25
294,0.0,85.8014,-85.8
295,0.0,74.95526,-74.96
296,0.0,70.44982,-70.45
297,0.0,66.312,-66.31
298,0.0,69.798935,-69.8
299,0.0,78.41022,-78.41
300,0.0,95.725464,-95.73
301,0.0,89.41616,-89.42
302,0.0,82.605515,-82.61
303,0.0,90.963005,-90.96
304,0.0,97.918884,-97.92
305,0.0,104.19541,-104.2
306,0.0,103.705475,-103.71
307,0.0,108.38847,-108.39
308,0.0,93.69061,-93.69
309,0.0,95.10759,-95.11
310,0.0,95.212715,-95.21
311,1.0,107.32635,-106.33
312,0.0,113.098724,-113.1
313,0.0,123.20745,-123.21
314,0.0,126.074455,-126.07
315,0.0,125.06789,-125.07
316,0.0,122.82344,-122.82
317,0.0,116.45138,-116.45
318,0.0,103.00696,-103.01
319,0.0,91.96995,-91.97
320,0.0,99.92707,-99.93
321,0.0,115.00129,-115.0
322,0.0,102.13506,-102.14
323,0.0,54.37869,-54.38
324,0.0,31.637644,-31.64
325,0.0,23.450672,-23.45
326,0.0,17.52986,-17.53
327,0.0,16.45852,-16.46
328,0.0,15.8348675,-15.83
329,0.0,17.2181,-17.22
330,0.0,14.699351,-14.7
331,0.0,15.334537,-15.33
332,0.0,25.583818,-25.58
333,0.0,39.045403,-39.05
334,0.0,60.267345,-60.27
335,0.0,61.513954,-61.51
336,0.0,61.91587,-61.92
337,0.0,114.8897,-114.89
338,0.0,188.18874,-188.19
339,0.0,168.59135,-168.59
340,0.0,176.24438,-176.24
